image,image_height,image_width,seed,noise_family,noise_level,achieved_snr_db,actual_impulse_density,normalization,method,method_label,hog_cosine_similarity,hog_relative_error,common_reference_cosine,common_reference_relative_error,clean_fidelity_cosine,clean_fidelity_relative_error
Images/flower.jpg,147,256,29,saltpepper,5.0,,0.05001062925170068,L2,B_taylor_standard,B: Taylor + Standard HOG,0.8206789817397488,0.5988672945824668,0.8206789817397488,0.5988672945824668,1.0,0.0
Images/flower.jpg,147,256,29,saltpepper,5.0,,0.05001062925170068,L2,C_taylor_robust,C: Taylor + Robust HOG,0.9545959207810998,0.3013439205257064,0.9542402709147079,0.3025218308991695,0.9958695957306257,0.09088899019545052
Images/flower.jpg,147,256,29,saltpepper,5.0,,0.05001062925170068,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,0.743083911200202,0.7168208825334096,0.6932940839690374,0.783206123642416,1.0,0.0
Images/flower.jpg,147,256,29,saltpepper,5.0,,0.05001062925170068,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,0.8593875918996802,0.5303063418517007,0.8593875918996802,0.5303063418517007,1.0,0.0
Images/flower.jpg,147,256,29,saltpepper,5.0,,0.05001062925170068,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,0.9518322701434965,0.31037954139234136,0.95134158270554,0.3119564626537765,0.9964446259240207,0.08432525216092002
Images/flower.jpg,147,256,29,saltpepper,10.0,,0.09999468537414966,L2,A_sobel_standard,A: Sobel + Standard HOG,0.6757154962594998,0.8053378219610878,0.6240166501450201,0.8671601349866159,1.0,0.0
Images/flower.jpg,147,256,29,saltpepper,10.0,,0.09999468537414966,L2,B_taylor_standard,B: Taylor + Standard HOG,0.7505612297063502,0.7063126365762755,0.7505612297063502,0.7063126365762755,1.0,0.0
Images/flower.jpg,147,256,29,saltpepper,10.0,,0.09999468537414966,L2,C_taylor_robust,C: Taylor + Robust HOG,0.8426671608214861,0.5609506915559058,0.8423384215934256,0.5615364251882188,0.9958695957306257,0.09088899019545052
Images/flower.jpg,147,256,29,saltpepper,10.0,,0.09999468537414966,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,0.7097172028786705,0.761948550950074,0.659325240720933,0.8254389854045608,1.0,0.0
Images/flower.jpg,147,256,29,saltpepper,10.0,,0.09999468537414966,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,0.7795994859602942,0.663928481167835,0.7795994859602942,0.663928481167835,1.0,0.0
Images/flower.jpg,147,256,29,saltpepper,10.0,,0.09999468537414966,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,0.8531769719746489,0.5418911847081224,0.8513859153364455,0.5451863620293458,0.9964446259240207,0.08432525216092002
Images/flower.jpg,147,256,29,gaussian,10.0,10.035193209090778,,L2,A_sobel_standard,A: Sobel + Standard HOG,0.7402939965509913,0.720702439914033,0.6958476860142873,0.7799388616881858,1.0,0.0
Images/flower.jpg,147,256,29,gaussian,10.0,10.035193209090778,,L2,B_taylor_standard,B: Taylor + Standard HOG,0.757039699773922,0.6970800531159859,0.757039699773922,0.6970800531159859,1.0,0.0
Images/flower.jpg,147,256,29,gaussian,10.0,10.035193209090778,,L2,C_taylor_robust,C: Taylor + Robust HOG,0.7573543632341599,0.6966285046793009,0.7583808373323703,0.6951534545230202,0.9958695957306257,0.09088899019545052
Images/flower.jpg,147,256,29,gaussian,10.0,10.035193209090778,,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,0.7716935040097992,0.6757314496327635,0.7252801226517146,0.7412420352034962,1.0,0.0
Images/flower.jpg,147,256,29,gaussian,10.0,10.035193209090778,,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,0.7784471754890955,0.6656618128277121,0.7784471754890955,0.6656618128277121,1.0,0.0
Images/flower.jpg,147,256,29,gaussian,10.0,10.035193209090778,,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,0.7796024494364503,0.6639240176105078,0.7788824857316726,0.6650075402373186,0.9964446259240207,0.08432525216092002
Images/flower.jpg,147,256,29,gaussian,20.0,20.035193209090778,,L2,A_sobel_standard,A: Sobel + Standard HOG,0.8262381035628172,0.5895114866348069,0.773495786285815,0.6730590073896922,1.0,0.0
Images/flower.jpg,147,256,29,gaussian,20.0,20.035193209090778,,L2,B_taylor_standard,B: Taylor + Standard HOG,0.8215797760458646,0.597361237366714,0.8215797760458646,0.597361237366714,1.0,0.0
Images/flower.jpg,147,256,29,gaussian,20.0,20.035193209090778,,L2,C_taylor_robust,C: Taylor + Robust HOG,0.8202719036500251,0.5995466559826491,0.8211781722818495,0.5980331558001794,0.9958695957306257,0.09088899019545052
Images/flower.jpg,147,256,29,gaussian,20.0,20.035193209090778,,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,0.8518647600013659,0.5443073396648201,0.8010579195310604,0.6307805965330943,1.0,0.0
Images/flower.jpg,147,256,29,gaussian,20.0,20.035193209090778,,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,0.8451839077370726,0.5564460302137234,0.8451839077370726,0.5564460302137234,1.0,0.0
Images/flower.jpg,147,256,29,gaussian,20.0,20.035193209090778,,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,0.8444545685833,0.5577551997493977,0.8446836662563985,0.557344298888222,0.9964446259240207,0.08432525216092002
Images/flower.jpg,147,256,29,gaussian,30.0,30.035193209090778,,L2,A_sobel_standard,A: Sobel + Standard HOG,0.8755144457319979,0.49897004773434406,0.8228314819676138,0.5952621574271222,1.0,0.0
Images/flower.jpg,147,256,29,gaussian,30.0,30.035193209090778,,L2,B_taylor_standard,B: Taylor + Standard HOG,0.8957603297694533,0.4565953793689793,0.8957603297694533,0.4565953793689793,1.0,0.0
Images/flower.jpg,147,256,29,gaussian,30.0,30.035193209090778,,L2,C_taylor_robust,C: Taylor + Robust HOG,0.8948003891530466,0.45869294925245846,0.8941553796903116,0.46009699044808394,0.9958695957306257,0.09088899019545052
Images/flower.jpg,147,256,29,gaussian,30.0,30.035193209090778,,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,0.9004655555164457,0.44617136727178,0.8494654756250626,0.5486975931802525,1.0,0.0
Images/flower.jpg,147,256,29,gaussian,30.0,30.035193209090778,,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,0.9099369646196883,0.42441261852813855,0.9099369646196883,0.42441261852813855,1.0,0.0
Images/flower.jpg,147,256,29,gaussian,30.0,30.035193209090778,,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,0.9083208305851724,0.4282036184281416,0.9077442250073137,0.42954807646158905,0.9964446259240207,0.08432525216092002
Images/flower.jpg,147,256,47,saltpepper,1.0,,0.009991496598639456,L2,A_sobel_standard,A: Sobel + Standard HOG,0.8227663123020643,0.5953716279735578,0.7700362946249004,0.6781794826963026,1.0,0.0
Images/flower.jpg,147,256,47,saltpepper,1.0,,0.009991496598639456,L2,B_taylor_standard,B: Taylor + Standard HOG,0.9611798350338081,0.27864014415081434,0.9611798350338081,0.27864014415081434,1.0,0.0
Images/flower.jpg,147,256,47,saltpepper,1.0,,0.009991496598639456,L2,C_taylor_robust,C: Taylor + Robust HOG,0.9967851415495737,0.08018551553025363,0.9938237757154619,0.11114156994156563,0.9958695957306257,0.09088899019545052
Images/flower.jpg,147,256,47,saltpepper,1.0,,0.009991496598639456,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,0.8372961246201039,0.5704452215299202,0.7902429613607594,0.6476990638334614,1.0,0.0
Images/flower.jpg,147,256,47,saltpepper,1.0,,0.009991496598639456,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,0.9652895571759069,0.26347843488335804,0.9652895571759069,0.26347843488335804,1.0,0.0
Images/flower.jpg,147,256,47,saltpepper,1.0,,0.009991496598639456,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,0.9963441272647395,0.08550874499450885,0.9937900833960531,0.11144430540856302,0.9964446259240207,0.08432525216092002
Images/flower.jpg,147,256,47,saltpepper,5.0,,0.05001062925170068,L2,A_sobel_standard,A: Sobel + Standard HOG,0.7283731946868156,0.7370573998179468,0.6739436861187487,0.807534908076761,1.0,0.0
Images/flower.jpg,147,256,47,saltpepper,5.0,,0.05001062925170068,L2,B_taylor_standard,B: Taylor + Standard HOG,0.8374754389563838,0.5701307938422998,0.8374754389563838,0.5701307938422998,1.0,0.0
Images/flower.jpg,147,256,47,saltpepper,5.0,,0.05001062925170068,L2,C_taylor_robust,C: Taylor + Robust HOG,0.9577354411086003,0.2907389168701059,0.9569880008325953,0.29329847993948294,0.9958695957306257,0.09088899019545052
