experiment,method,algorithm,noise,target_snr_db,achieved_snr_db,seed,image,image_height,image_width,polynomial_order,n,h,common_pad,roi_height,roi_width,matched_clean_gradient_RMSE,hog_relative_error,cosine_similarity,runtime,runtime_trial_1,runtime_trial_2,runtime_trial_3,runtime_repeats,iteration_count,final_residual,converged,noise_sha256,hog_normalization,robust_hog,robust_weighting,robust_delta,robust_window,visualization_percentile,tol,max_iter,init_sigma,runtime_definition
gaussian_parameter_sensitivity,Correntropy loss,3,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,8,4,16,224,224,1.0343707952,0.395742914293,0.921693772896,17.6472856,17.6472856,18.1859257,17.4640477,3,298,28.7189026558,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 10 dB,10,9.97532146562,42,Images/cameraman.png,256,256,3,4,1,16,224,224,24.5111282501,0.513565932379,0.868125016556,0.223851199989,0.225093599991,0.223851199989,0.221596799995,3,1,15.5998515425,true,1ecf6020e5cc133ba35921be3df5c7a5658f32fd054c826fb61b24e65506eb3a,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 10 dB,10,9.97532146562,42,Images/cameraman.png,256,256,3,8,1,16,224,224,8.34303013349,0.481039629556,0.884300437403,0.230803800005,0.230803800005,0.227652800007,0.232448999988,3,1,23.8346446541,true,1ecf6020e5cc133ba35921be3df5c7a5658f32fd054c826fb61b24e65506eb3a,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 10 dB,10,9.97532146562,42,Images/cameraman.png,256,256,3,16,1,16,224,224,2.94882532031,0.488539337198,0.88066465801,0.26809730001,0.2538374,0.274886700005,0.26809730001,3,1,29.7664351153,true,1ecf6020e5cc133ba35921be3df5c7a5658f32fd054c826fb61b24e65506eb3a,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 10 dB,10,9.97532146562,42,Images/cameraman.png,256,256,3,32,1,16,224,224,1.01845178492,0.517690184934,0.865998436217,0.31032189999,0.31032189999,0.3100022,0.312035900002,3,1,36.2000492248,true,1ecf6020e5cc133ba35921be3df5c7a5658f32fd054c826fb61b24e65506eb3a,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 10 dB,10,9.97532146562,42,Images/cameraman.png,256,256,3,8,2,16,224,224,4.04659426057,0.495642599409,0.877169206831,0.236909399988,0.236909399988,0.237935199999,0.2355905,3,1,28.3916204775,true,1ecf6020e5cc133ba35921be3df5c7a5658f32fd054c826fb61b24e65506eb3a,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 10 dB,10,9.97532146562,42,Images/cameraman.png,256,256,3,8,3,16,224,224,2.63570735318,0.516668583888,0.866526787218,0.231530500008,0.228445500004,0.231530500008,0.236568499997,3,1,31.6901420498,true,1ecf6020e5cc133ba35921be3df5c7a5658f32fd054c826fb61b24e65506eb3a,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 10 dB,10,9.97532146562,42,Images/cameraman.png,256,256,3,8,4,16,224,224,1.945243576,0.527636629046,0.860799793851,0.2315982,0.228117800012,0.2315982,0.232077799999,3,1,34.4564216841,true,1ecf6020e5cc133ba35921be3df5c7a5658f32fd054c826fb61b24e65506eb3a,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 10 dB,10,9.97532146562,42,Images/cameraman.png,256,256,3,4,1,16,224,224,26.6911427221,0.513805387369,0.868002011961,0.698864000005,0.677662100003,0.698864000005,0.730308700004,3,29,15.6408533026,true,1ecf6020e5cc133ba35921be3df5c7a5658f32fd054c826fb61b24e65506eb3a,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 10 dB,10,9.97532146562,42,Images/cameraman.png,256,256,3,8,1,16,224,224,8.09703712273,0.480362494522,0.884625936934,0.926666300002,0.929250500005,0.911110699992,0.926666300002,3,41,23.8375126162,true,1ecf6020e5cc133ba35921be3df5c7a5658f32fd054c826fb61b24e65506eb3a,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
